Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775820034,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775820035,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775820036,100,,Aggregated,0.000000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3,0,1900,1302.4172613343883,87.70639100112021,1922.3641270000371,21.0
1775820037,100,,Aggregated,0.000000,0.000000,260,350,1900,1900,2300,2500,2800,2800,2800,2800,2800,26,0,260,761.7846294233459,87.70639100112021,2807.560551998904,21.0
1775820038,100,,Aggregated,0.000000,0.000000,350,350,620,1900,2500,3100,3900,3900,3900,3900,3900,48,0,310,781.6047558541565,87.70639100112021,3868.0658689991105,21.0
1775820039,100,,Aggregated,3.333333,0.000000,400,440,490,710,2300,3500,4300,4800,4800,4800,4800,71,0,400,797.3786831126732,87.70639100112021,4784.006266003416,21.0
1775820040,100,,Aggregated,8.250000,0.000000,440,530,530,710,2300,3900,5300,5900,5900,5900,5900,94,0,440,848.8948059468307,87.70639100112021,5892.2192430036375,21.0
1775820041,100,,Aggregated,11.000000,0.000000,490,580,620,620,2100,3900,5300,5900,6500,6500,6500,116,0,490,857.3811084396734,87.70639100112021,6513.39680700039,21.0
1775820042,100,,Aggregated,12.166667,0.000000,530,620,660,670,2100,4300,6500,7200,7900,7900,7900,139,0,530,933.0489785826502,87.70639100112021,7889.687488001073,21.0
1775820043,100,,Aggregated,13.714286,0.000000,580,660,710,750,1900,3900,6500,7900,8600,8600,8600,162,0,580,957.0282096666447,87.70639100112021,8643.085256000631,21.0
1775820044,100,,Aggregated,14.750000,0.000000,620,710,760,800,1900,3900,7200,8600,9400,9400,9400,184,0,620,987.0053607662909,87.70639100112021,9442.789337997965,21.0
1775820045,100,,Aggregated,15.666667,0.000000,660,760,800,840,1600,3900,7200,8600,10000,10000,10000,207,0,660,1018.9381180433608,87.70639100112021,10299.444035998022,21.0
1775820046,100,,Aggregated,16.300000,0.000000,710,800,840,880,1600,3900,7900,9400,11000,11000,11000,230,0,710,1053.172113008496,87.70639100112021,11182.330935997015,21.0
1775820047,100,,Aggregated,18.200000,0.000000,710,840,880,920,1600,3900,7900,10000,12000,12000,12000,253,0,710,1092.704689406846,87.70639100112021,12106.656377000036,21.0
1775820048,100,,Aggregated,20.400000,0.000000,760,880,920,970,1500,3900,8600,11000,13000,13000,13000,275,0,760,1127.166262265263,87.70639100112021,13078.579802000604,21.0
1775820049,100,,Aggregated,21.700000,0.000000,800,880,970,970,1500,3900,9400,12000,14000,14000,14000,298,0,800,1165.6263686374539,87.70639100112021,14095.526784003596,21.0
1775820050,100,,Aggregated,21.700000,0.000000,800,920,970,1000,1400,3500,9400,12000,15000,15000,15000,321,0,800,1205.0912887444779,87.70639100112021,15157.015306998801,21.0
1775820051,100,,Aggregated,21.700000,0.000000,840,970,1000,1100,1400,3500,10000,13000,16000,16000,16000,343,0,840,1245.6964035130063,87.70639100112021,16265.502362999541,21.0
1775820052,100,,Aggregated,21.600000,0.000000,880,980,1100,1100,1400,3500,10000,14000,17000,17000,17000,366,0,880,1286.3645070081604,87.70639100112021,17417.89646300458,21.0
1775820053,100,,Aggregated,21.500000,0.000000,880,1000,1100,1100,1400,3500,11000,15000,19000,19000,19000,389,0,880,1327.360118632356,87.70639100112021,18612.393262003025,21.0
1775820054,100,,Aggregated,21.600000,0.000000,920,1100,1100,1200,1300,3500,11000,15000,20000,20000,20000,411,0,920,1369.2392920899792,87.70639100112021,19856.715786998393,21.0
1775820055,100,,Aggregated,21.600000,0.000000,930,1100,1200,1200,1200,3100,11000,15000,20000,20000,20000,434,0,930,1362.4314913824564,87.70639100112021,19856.715786998393,21.0
1775820056,100,,Aggregated,21.600000,0.000000,970,1100,1200,1200,1300,3100,11000,16000,21000,21000,21000,457,0,970,1404.460856752698,87.70639100112021,21141.479151003296,21.0
1775820057,100,,Aggregated,21.400000,0.000000,970,1200,1200,1200,1300,3100,12000,17000,22000,22000,22000,479,0,970,1446.8127973506676,87.70639100112021,22464.427421000437,21.0
1775820058,100,,Aggregated,21.400000,0.000000,1000,1200,1200,1300,1400,2800,12000,17000,24000,24000,24000,502,0,1000,1489.1604553844254,87.70639100112021,23833.61450299708,21.0
1775820059,100,,Aggregated,21.400000,0.000000,1000,1200,1300,1300,1400,2600,12000,17000,24000,24000,24000,525,0,1000,1483.9006260666347,87.70639100112021,23833.61450299708,21.0
1775820060,100,,Aggregated,21.400000,0.000000,1100,1200,1300,1300,1400,2700,13000,19000,25000,25000,25000,548,0,1100,1526.650952903254,87.70639100112021,25246.381044998998,21.0
1775820061,100,,Aggregated,21.400000,0.000000,1100,1200,1300,1400,1500,2800,13000,20000,27000,27000,27000,570,0,1100,1569.756471536829,87.70639100112021,26704.276309996203,21.0
1775820062,100,,Aggregated,21.500000,0.000000,1100,1200,1300,1400,1500,2700,13000,20000,27000,27000,27000,593,0,1100,1565.5787078246096,87.70639100112021,26704.276309996203,21.0
1775820063,100,,Aggregated,21.600000,0.000000,1100,1300,1400,1400,1500,2800,13000,20000,28000,28000,28000,616,0,1100,1608.9782718749261,87.70639100112021,28210.95627899922,21.0
1775820064,100,,Aggregated,21.500000,0.000000,1200,1300,1400,1400,1500,2800,14000,21000,30000,30000,30000,638,0,1200,1652.7073835359859,87.70639100112021,29763.818769002683,21.0
1775820065,100,,Aggregated,21.500000,0.000000,1200,1300,1400,1500,1600,2700,13000,21000,30000,30000,30000,661,0,1200,1649.3271351285352,87.70639100112021,29763.818769002683,21.0
1775820066,100,,Aggregated,21.500000,0.000000,1200,1400,1500,1500,1600,2800,14000,22000,31000,31000,31000,684,0,1200,1693.1324641461772,87.70639100112021,31366.576717002317,21.0
1775820067,100,,Aggregated,21.300000,0.000000,1200,1400,1500,1500,1600,2800,14000,22000,33000,33000,33000,706,0,1200,1736.9220879745083,87.70639100112021,33000.3726129944,21.0
1775820068,100,,Aggregated,21.100000,0.000000,1200,1400,1500,1600,1600,2800,14000,22000,33000,33000,33000,729,0,1200,1733.593832430737,87.70639100112021,33000.3726129944,21.0
1775820069,100,,Aggregated,21.100000,0.000000,1200,1400,1500,1600,1600,2800,14000,24000,35000,35000,35000,752,0,1200,1777.1325413590343,87.70639100112021,34673.92382000253,21.0
1775820070,100,,Aggregated,21.000000,0.000000,1200,1400,1600,1600,1700,2800,14000,24000,35000,35000,35000,775,0,1200,1774.213878187048,87.70639100112021,34673.92382000253,21.0
1775820071,100,,Aggregated,21.100000,0.000000,1300,1500,1600,1600,1700,2800,15000,25000,36000,36000,36000,798,0,1300,1818.0395183758865,87.70639100112021,36398.453474001144,21.0
1775820072,100,,Aggregated,21.000000,0.000000,1300,1500,1600,1600,1700,2800,14000,24000,36000,36000,36000,820,0,1300,1817.5784945414234,87.70639100112021,36398.453474001144,21.0
1775820073,100,,Aggregated,21.000000,0.000000,1300,1500,1600,1600,1700,2800,15000,25000,38000,38000,38000,843,0,1300,1859.4704950794433,87.70639100112021,38167.32620399853,21.0
1775820074,100,,Aggregated,21.000000,0.000000,1300,1500,1600,1700,1800,2800,15000,27000,40000,40000,40000,866,0,1300,1903.5312092632241,87.70639100112021,39974.8559389991,21.0
1775820075,100,,Aggregated,21.400000,0.000000,1300,1600,1600,1700,1800,2800,15000,27000,40000,40000,40000,888,0,1300,1901.364033765725,87.70639100112021,39974.8559389991,21.0
1775820076,100,,Aggregated,21.500000,0.000000,1400,1600,1600,1700,1800,2800,15000,27000,42000,42000,42000,911,0,1400,1945.5082752403632,87.70639100112021,41836.97592200042,21.0
1775820077,100,,Aggregated,21.500000,0.000000,1400,1600,1700,1700,1900,2800,15000,27000,42000,42000,42000,934,0,1400,1943.4758352836986,87.70639100112021,41836.97592200042,21.0
1775820078,100,,Aggregated,21.800000,0.000000,1400,1600,1700,1800,1900,2800,15000,28000,44000,44000,44000,956,0,1400,1987.7340679497468,87.70639100112021,43740.87156099995,21.0
1775820079,100,,Aggregated,21.700000,0.000000,1400,1600,1700,1800,1900,2800,15000,28000,44000,44000,44000,979,0,1400,1985.6542865842246,87.70639100112021,43740.87156099995,21.0
1775820080,100,,Aggregated,22.300000,0.000000,1400,1600,1700,1800,1900,2800,15000,28000,44000,46000,46000,1002,0,1400,2029.7270233642166,87.70639100112021,45682.97188599536,21.0
1775820081,100,,Aggregated,22.300000,0.000000,1500,1600,1800,1800,1900,2700,15000,28000,44000,46000,46000,1025,0,1500,2027.812973473137,87.70639100112021,45682.97188599536,21.0
1775820082,100,,Aggregated,22.200000,0.000000,1500,1700,1800,1800,1900,2800,16000,30000,46000,48000,48000,1047,0,1500,2072.05801430178,87.70639100112021,47672.25123500248,21.0
1775820083,100,,Aggregated,22.200000,0.000000,1500,1700,1800,1900,1900,2700,15000,30000,46000,48000,48000,1070,0,1500,2070.2686339148795,87.70639100112021,47672.25123500248,21.0
1775820084,100,,Aggregated,22.300000,0.000000,1500,1700,1800,1900,2000,2800,16000,31000,48000,50000,50000,1093,0,1500,2114.577478140821,87.70639100112021,49707.92265699856,21.0
1775820085,100,,Aggregated,22.400000,0.000000,1500,1700,1800,1900,2000,2700,15000,30000,48000,50000,50000,1115,0,1500,2113.1304093900726,87.70639100112021,49707.92265699856,21.0
1775820086,100,,Aggregated,22.400000,0.000000,1500,1700,1900,1900,2000,2800,16000,31000,50000,52000,52000,1138,0,1500,2157.4770654287436,87.70639100112021,51791.282009995484,21.0
1775820087,100,,Aggregated,22.700000,0.000000,1600,1800,1900,1900,2000,2600,15000,31000,50000,52000,52000,1161,0,1600,2155.9518711799305,87.70639100112021,51791.282009995484,21.0
1775820088,100,,Aggregated,22.700000,0.000000,1600,1800,1900,1900,2100,2700,16000,33000,52000,54000,54000,1183,0,1600,2200.3068254639834,87.70639100112021,53912.399952998385,21.0
1775820089,100,,Aggregated,22.700000,0.000000,1600,1800,1900,1900,2100,2600,15000,31000,52000,54000,54000,1206,0,1600,2198.8030463647583,87.70639100112021,53912.399952998385,21.0
1775820090,100,,Aggregated,22.800000,0.000000,1600,1800,1900,2000,2100,2700,16000,33000,54000,56000,56000,1229,0,1600,2243.1152611170846,87.70639100112021,56080.133324998314,21.0
1775820091,100,,Aggregated,22.800000,0.000000,1600,1800,1900,2000,2100,2600,15000,33000,54000,56000,56000,1252,0,1600,2241.6942305238695,87.70639100112021,56080.133324998314,21.0
1775820092,100,,Aggregated,23.000000,0.000000,1600,1900,1900,2000,2100,2600,15000,33000,54000,56000,56000,1274,0,1600,2240.3397056176414,87.70639100112021,56080.133324998314,21.0
1775820127,100,,Aggregated,23.000000,0.000000,1600,1900,1900,2000,2200,2600,16000,35000,56000,57000,57000,1292,0,1600,2284.1553935812008,87.70639100112021,57316.09448100062,21.0
